label_Current_Teacher,CNTLNUM_T,SCHCNTL,CNTLNUM_P,vacnc_difficult_STEM_Yes,number_of_dependents,region_Northeast,region_West,marital_status_Married,race_t_White,race_t_Black,race_t_Hispanic,gender_t_Female,summer_teaching_Yes,nonteaching_job_Yes,nonschool_job_Yes,extracur_act_Yes,merit_pay_Yes,union_member_Yes,BA_major_code_STEM,MA_major_code_STEM,main_tch_fields_cert_type_Regular,MA_deg_Yes,pd_time,pd_finance,remain_in_teaching,STEM_teaching_field,STEM_hours_taught,public_ft_exp,public_pt_exp,private_ft_exp,class_org,main_teaching_lastyr_Same_as_thisyr,ft_pt_status_FT,teaches_ungraded_Yes,teaches_7_to_12,new_teacher_Yes,percent_minority_students,FRPL_eligible_k_12_students,student_teacher_ratio,sch_type,level_Elementary,urbanicity,title_I_receive_students_Yes,age_p,salary,yrs_princpl_this_sch,yrs_princpl_oth_schls,yrs_tchng_before_princpl,yrs_tchng_since_princpl,deg_highest_P,race_p_Black,race_p_White,race_p_Hispanic,gender_p_Female,incentives_pay,incentives_recruit_NonSTEM
0,112776,100599,110181,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,4,1,0,40,0,0,1,1,1,0,1,0,1,4,16.9,1,0,2,0,3,4,5,3,12,0,4,0,1,0,0,1,0
0,126457,100604,110489,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,5,0,0,32,0,0,1,1,1,0,1,0,4,3,8.39,3,0,1,0,3,4,2,0,11,0,4,1,0,0,0,0,0
0,136847,100605,106788,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,17,3,0,0,3,1,1,0,0,1,2,3,17.85,1,1,2,0,5,3,15,0,4,0,5,0,1,0,0,1,0
0,134836,100613,102679,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,27,0,0,1,1,1,0,1,0,4,4,14.04,1,0,1,0,4,4,1,2,9,0,4,0,1,0,1,0,0
0,101779,100615,101517,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,2,0,8,26,1,5,3,1,1,0,0,0,3,4,14.68,1,1,3,1,1,3,0,2,8,2,4,0,1,0,0,0,0
0,110578,100615,101517,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,7,1,0,1,3,0,1,0,0,1,3,4,14.68,1,1,3,1,1,3,0,2,8,2,4,0,1,0,0,0,0
0,124900,100615,101517,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,2,0,0,33,0,0,1,1,0,0,0,0,3,4,14.68,1,1,3,1,1,3,0,2,8,2,4,0,1,0,0,0,0
0,141058,100615,101517,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,8,29,0,3,3,1,1,0,0,0,3,4,14.68,1,1,3,1,1,3,0,2,8,2,4,0,1,0,0,0,0
0,117801,100617,103617,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,34,0,0,1,1,1,0,0,0,3,4,14.2,1,1,3,0,5,4,20,3,13,0,4,0,1,0,0,1,0
0,118494,100618,103480,0,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,3,0,8,25,0,0,3,1,1,0,0,0,3,3,12.98,1,1,3,0,4,1,1,0,25,0,3,0,1,0,1,0,0
0,119737,100641,102811,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,20,27,0,0,5,1,1,0,1,0,2,3,18.28,1,0,3,0,4,1,1,0,12,1,4,0,1,0,0,1,0
0,123500,100655,108180,0,4,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,1,0,18,1,0,1,1,0,0,1,0,1,2,14.81,1,0,3,0,2,2,2,7,11,0,3,0,1,0,0,1,0
0,145557,100663,102042,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,2,0,8,32,0,0,3,1,1,0,0,0,2,3,12.48,1,1,2,0,4,5,10,0,15,1,4,0,1,0,0,1,0
